age;gender;humanmade;concern;efficacy;income;edu3;openanswer;
3;1;1;0,5;0,6666667;489000;3;Stakkars barn;
5;1;0;0,5;0,3333333;1500000;3;Spill for galleriet politikernes avmakt ikke samsvar mellom tale og handling Hvis det er menneskeskapt går utviklingen i fullstendig feil retning og politikerne vil ikke klare å gjøre noe med det;
3;1;1;0,75;0,3333333;1100000;3;Sorg;
2;2;0;0,25;0,6666667;460000;3;Some human factors impact it but if you look back in history we have always had warm and cold times great freezers etc;
5;1;0;0,25;0,3333333;600000;1;Solens aktiviteter kan ikke mennesket styre men vi kan rydde i egen bakgård det hjelper det også;
7;1;0;0,25;0;32000;1;Sola styrer universets klima;
2;2;0;0;0;250000;2;sol regn universet;
7;1;1;0,75;0,3333333;0;2;snøstorm og store nedbørsmengder havstigningsnivå og at Golfstrømmen skal skifte retning pga issmelting i polområdene;
2;2;1;0,5;0,6666667;405000;3;Snøsmelting polene;
2;1;1;0,75;0,3333333;0;3;snøsmelting;
5;1;1;0,25;0,3333333;700000;2;snøfattige vintre;
4;1;1;0,75;0;150;1;snø smeltingen;
5;2;1;0,75;0,3333333;460000;3;snø og bresmelting;
3;1;0;0,5;0,6666667;1700000;3;Snesmelting av poler og Grønland;
1;1;1;0,75;0,6666667;150000;2;smelting på polene tørke i slt tørre områder og generell ubalanse;
3;1;1;0,25;0,6666667;500000;3;Smelting av pol-områdene Høyere vannstand på lang sikt;
2;1;0;0,5;0,3333333;430000;3;Smelting av polisen;
3;1;1;0,5;0,3333333;480000;3;Smelting av pol-isen;
3;2;1;0,5;0,3333333;490000;3;Smelting av isen ved nordpolen og sørpolen og hva det vil føre til;
3;2;0;0,5;0,3333333;250000;2;Smelting av isbreer stormer og temperaturforandringer;
5;2;1;0,75;0;240000;3;Smelting av is rundt Polene og de konsekvensene det får for oss;
2;1;1;0,5;0,6666667;600000;3;smelting av is på polarområdene;
1;2;1;0,5;0,3333333;0;3;Smelting av is og døende isbjørner;
3;2;0;0,25;0,3333333;320000;2;smelting av is;
2;2;1;0,5;0,3333333;620000;3;smeltet is i antarktis;
2;2;0;0,25;0,6666667;400000;3;smeltende poler;
1;2;1;0,5;0,3333333;0;3;Smeltende is og svømmende isbjørner;
2;1;0;0,5;1;500000;3;Skyttergravsdebatt;
1;2;1;0,75;0,6666667;100000;2;Skummelt!;
2;2;1;1;0,3333333;346000;0;Skummelt Hvor har vinteren og sommeren blitt av?;
2;2;1;1;0,6666667;430000;3;Skummelt Ett stort ansvar;
1;2;0;0,25;0,3333333;700000;3;skummelt berører ikke min generasjon;
1;2;1;1;0,3333333;200000;3;Skummelt;
1;2;1;0,75;0,6666667;40000;2;Skummelt;
6;1;1;1;0,3333333;390000;3;Skummelt;
5;2;1;1;0,3333333;180000;1;skummelt;
3;1;1;0,75;0,3333333;400000;2;Skummelt;
3;2;1;0,75;0,3333333;47000;3;skummelt;
4;1;1;0,25;0,3333333;700000;3;Skummelt;
2;1;0;0,75;0,3333333;550000;3;Skuffelse og avsky overfor politikere og næringsliv;
5;2;0;0,5;0;300000;3;"Skremselspropaganda Vår tids nye religion: den som ikke ""tror"" på den vedtatte sannhet er ignorant Men man kan jo kjøpe seg avlat ved klimakvoter som om det hjelper Ellers er det jo tilstrekkelig å bekymre seg over den klimaendring som skjer uten menneskets innblanding Men ville man bygd operaen i Oslo rett i sjøen om man trodde havet vil stige faretruende de nærmeste 50 år?";
2;2;1;1;0,6666667;1400000;2;Skremmende! Det går mer og mer opp for meg at dette er menneskeskapt og at vi må gjøre store endringer for å snu utviklingen i Norge Vi må også jobbe mye mer aktivt med u-land i forhold til å tilføre kompetanse veiledning og reell hjelp;
4;2;1;1;0,6666667;550000;3;Skremmende og menneskeskapt;
5;2;1;0,75;0,6666667;0;1;skremmende når polisen smelter;
2;2;1;0,75;0,3333333;380000;2;Skremmende masse endringer i klimaet;
3;1;1;1;0,3333333;500000;3;Skremmende fremtid;
4;2;1;1;0,6666667;980000;3;Skremmende;
7;2;1;1;0,6666667;450000;3;Skremmende;
6;2;1;0,75;0,3333333;0;2;skremmende;
6;2;1;1;0,3333333;2620941;3;Skremmende;
2;2;1;0,75;0,6666667;441700;3;skremmende;
6;2;0;0,5;0;250;1;skremmende;
6;2;1;0,5;0,3333333;0;1;Skremmende;
3;2;1;1;0,3333333;400000;3;Skremmende;
6;2;1;1;0,3333333;0;3;skremmende;
5;2;1;0,75;0,6666667;450000;3;SKREMMENDE;
2;2;1;1;0,6666667;450000;3;Skremmende;
5;1;0;0,75;0,3333333;0;2;Skremmende;
5;2;1;0,75;0,6666667;354000;3;Skrekk og gru Skummelt at ikke alle nasjoner og mennesker tar dette på alvor;
2;1;1;0,75;0,3333333;680000;3;skog;
3;2;1;0,25;0,3333333;44000;3;skog;
5;2;0;0,5;0,3333333;0;2;skjer vel ikke noe dramatisk de neste hundre år;
2;1;0;0,25;0,3333333;100000;2;Skjer naturlig i perioder og menneskene har noe men liten skyld i disse;
2;1;1;0;0;420000;2;Skjer ikke i mitt liv Tror teknologien tar igjen den største klimatrusselen;
5;2;0;0,5;0,6666667;650000;0;skjedde før i verden også;
4;1;0;0,25;0;350000;1;Skeptisk noe overdrevet tror jeg;
4;2;1;0,75;0,6666667;450000;3;Skader på natur/dyreliv Store værendringer Forurenset jord luft og vann;
4;1;1;1;0,3333333;370000;3;skader;
5;1;1;0,75;0,3333333;0;2;skadelige klimagasser;
2;2;1;0,75;0,6666667;460000;3;Senk forbruk;
1;1;1;0,5;0,6666667;328000;1;Satsing på fornybar energi må til;
2;1;1;0,25;0,3333333;1600000;3;sant trist men sånn er det bare;
6;2;1;0,75;0,3333333;1000000;3;sammensatt menneske og tknisk grunn begrense folketallet mere ren energi minde kull olje bedre enn kull;
2;1;1;0,5;0,3333333;480000;3;Sammensatt kompleks mangesidig sak der mennesker spiller en viktig rolle - men det er også større svingninger som følger jordkloden/ solen m m som IKKE har noe med menneskets atferd å gjøre Jeg ser vel saken fra begge disse sidene og er ikke veldig bekymret for utviklingen Er samtidig opptatt av å gjøre mitt for å bidra f eks inn mot resirkulering/ gjenvinning/ gjenbruk etc;
5;2;1;1;0,6666667;0;3;Samfunnet må ta hensyn til klimaendringen og hver enkel må være villige til å gjøre noe selv for at vi skal ta vare på verden vi lever i;
3;2;1;0,5;0;351000;2;Samfunnet er ikke flink nok på gjenbruk Er for for bruk-kast-mentalitet;
5;1;0;0,5;0,3333333;300000;1;rommet er i ekspangsjon dermed forandrer klimaets seg også;
5;1;1;0,75;0,6666667;662400;3;Risiko;
5;2;1;0,75;0,3333333;250000;3;ren luft rent vann;
4;2;0;0,75;0,3333333;470000;3;ren luft;
4;2;1;0,5;0,6666667;320000;1;REGNVÆR;
2;2;0;0,75;0,3333333;320000;2;Regnskogen;
3;2;1;0,75;0,3333333;400000;3;Regn økt vannstand;
4;1;1;0,5;0,3333333;650000;2;Regn om sommerenæ;
4;2;1;0,5;0,3333333;400000;3;Regn og vind;
5;2;1;1;0,6666667;501600;3;regn og vind;
4;2;0;0,5;0,3333333;400000;3;Regn og uvær;
5;2;1;1;0,6666667;650000;3;regn og storm;
6;2;1;0,5;0,6666667;235000;3;Regn og oversvømmelser;
6;2;1;0,75;0,6666667;250000;3;regn og flom;
1;2;1;0,5;0,6666667;40000;3;Regn mindre snø enn da jeg var barn naturkatastrofer;
4;2;1;0,75;0,3333333;450000;3;regn fuktighet ubalanse i naturen;
5;2;1;0,5;0,6666667;360000;2;Regn;
4;2;1;0,75;0,6666667;400000;2;Regn;
5;1;1;0,75;0;350000;2;regn;
4;1;1;0,5;0,6666667;550000;1;Regn;
4;2;1;0,75;0,3333333;650000;3;Regn;
6;2;1;0,75;0,6666667;250000;1;Regn;
5;2;0;0,25;0,3333333;1200000;3;Regn;
2;1;0;0,5;0,3333333;500000;1;Regn;
2;1;0;0,75;0,6666667;700000;3;Reelle men med usikker årsak Flere aktører på hver side av debatten med store egeninteresser Mangler helt objektive kilder ifht hva som blir konsekvensene/faren ved endringene men noe må gjøres;
1;2;1;0,75;0,6666667;30000;3;redusert forbruk og utslipp (mindre shopping-spesielt alt som har med masseproduksjon og billigkjeder å gjøre kaste mindre mat kjøre mindre bil og fly-mer kollektivt mindre strøm og vannforbruk + selvfølgelig kildesortering);
5;2;1;0,75;0,3333333;300000;3;redusert forbruk fossile ressurser;
5;2;1;0,75;0,6666667;520000;3;Redusere bilkjøring Oppvarming i boliger Lære om miljø og påvirkning av klima i barnehage/skole;
2;2;0;0,5;0,3333333;0;3;reduksjon av produksjonen;
4;2;1;0,75;0,6666667;456000;3;Reduksjon av klimagassutslipp Issmelting - stakkars dyr/seler/isbjørner Stoppe nedslakting av regnskogen;
3;1;1;0,75;0,3333333;450000;3;Reduksjon av arts mangfoldet;
2;2;1;0,75;0,3333333;0;3;Redsel;
2;2;1;0,5;0,6666667;400000;3;Reality;
6;1;0;0,5;0,3333333;270000;1;Ras og flom;
7;1;0;0,25;0,3333333;350000;1;PÅSKUDD FOR NYE OG HØYERE AVGIFTER!;
4;2;1;0,5;0,3333333;350000;2;På grunn av klimagassar og gifter som blir sleppt ut forandrar klima seg Isen i Arktis smeltar hav nivået stig havtemperaturen stig som igjen fører til kraftigare stormar og naturkatastrofar Meir og kraftigare nedbør i Norge fører til ras og flaum;
3;1;1;0,5;0,3333333;480000;3;Psykologi;
3;1;1;0,75;0,3333333;250000;1;Prøvesprengniger;
3;2;1;1;0,6666667;0;1;prøv å gjøre noe for å forbedre klima krise;
3;1;0;0,25;0,3333333;700000;3;Provoserende unyansert fremstilling av ett fenomen som beviselig har flere årsakssammenhenger;
1;2;1;0,75;0,6666667;130000;2;Problemer og vær;
2;2;1;1;0,6666667;465000;3;problemer;
2;1;1;0,75;0,3333333;0;0;Problem;
5;1;0;0,25;0,3333333;600000;3;Prater mye men gjør lite;
3;2;1;0,5;0,6666667;460000;3;Potensielle fremtige effekter av globale klimaendringer inkluderer: -intensitet av tropiske stormer -skogbranner -issmelting;
4;1;0;0,25;0,3333333;600000;3;Populistisk;
6;1;1;0,25;0,3333333;600000;2;populisme;
3;2;1;0,5;0,3333333;340000;3;Polsmelting at havet stiger Våtere klima;
2;2;1;0,75;0,6666667;500000;3;polsmelting;
5;1;0;0;0;500000;3;"Politisk styrt ""forskning"" Forskere på tynn is ";
1;2;1;0,5;0,3333333;200000;3;Politisk debatt og juks fra maalinger;
2;1;1;0,25;0,3333333;700000;2;Politisk babel;
2;1;1;0,25;0;580000;3;Politisk agenda;
5;1;1;0,75;0,3333333;170000;0;politikk repetisjon igjen uten mål og handling;
3;2;1;0,5;0,6666667;0;3;Politikk kjedelig masete;
4;2;1;0,5;0,6666667;650000;3;Politikk;
1;1;0;0;0;120000;2;Politikk;
1;1;0;0,25;0,3333333;350000;2;Politikk;
4;1;1;0,5;0,3333333;620000;3;Politikk;
4;2;1;0,75;0;0;3;Politikk;
4;1;0;0,5;0;400000;2;Politikere legger lista for fremdrift og suksess for et hvert land Alle politikere vil vise til fremdrift i sin periode Men når miljø og andre problemer kommer så er det vi (vanlige arbeidstakere) som er de skyldige Dessuten har vi alltid hatt en langsiktig klimaendring her på jorda som vi ikke er herre over Påvirket av jordskjelv vulkanutbrudd landplatåforskyvninger endring i avstand til solen m m;
3;1;0;0,5;0,3333333;490000;3;Politikarprat;
4;1;0;0,5;0,3333333;1200000;3;Polissmelting;
2;2;1;0,75;0;477500;3;polis;
1;1;1;1;0,3333333;200000;2;polene temperatur truede arter CO2 kjottkaker og brun saus;
2;1;0;0,5;0,3333333;620000;3;Polene som smelter varmere klima og mer ekstremvær;
1;2;1;1;0;25000;2;Polene smelter havet stiger høyere kystlinje=mindre land Flere dyrearter dør ut drivhuseffekt;
1;1;1;0,5;0,3333333;200000;1;Polene smelter;
2;2;0;0,5;0,3333333;490000;3;Polene smelter;
1;1;1;0,75;0,3333333;50000;2;Polarisert debatt;
2;2;1;0,5;0,6666667;440000;2;Pol smelting;
2;1;1;0,5;0,3333333;390000;2;Pol isene smelter;
3;1;0;0,5;0;430000;0;pol isen smelter;
4;1;0;0,5;0;450000;3;Planet i universet liten prikk uten betydning Klima er sammensatt noe er menneskeskapt annet er planetar påvirkning;
1;1;0;0,25;0;120000;2;Personer som tjener millioner på å prate om klimaendringer men selv er miljøsvin;
5;1;1;0,25;0,3333333;450000;2;palmestrand;
4;2;0;0;0;420000;2;ozon-laget;
5;2;1;0,75;0,3333333;560000;3;Ozonlaget;
1;2;1;1;0,6666667;152000;0;ozonlaget;
5;2;1;0,75;0,6666667;520000;3;ozonlaget;
2;2;1;0,75;0,6666667;100000;2;ozone layer er på vei å bli ødelagt pga kemiske stoffer me brukar daglig;
7;1;1;0,75;0,6666667;0;3;OZON;
1;1;0;0,25;0;200000;2;Overvurdert tema;
2;1;1;0;0;530000;2;"Overvurdert Klimaet vil alltid forandre seg Vi påvirker det nok negativt MEN mennesker i sin helhet kan ikke gjøre noen forskjell Da må vi redusere antall mennesker Og synes særlig IKKE Norge trenger være et eksempel på bra klima politikk som nasjon Burde holde med strengere regler mot NYE bedrifter og hus/blokker Og ""reklamere"" for bra gjenvinning ";
5;2;1;0,75;0,3333333;500000;3;Oversvømmelser sterk vind høyere temperatur issmelting;
3;1;1;0,75;0,3333333;460000;3;Oversvømmelser og folkevandringer;
6;2;1;0,5;0,6666667;0;2;oversvømmelser;
5;2;1;1;0,6666667;400000;3;OVERSVØMMELSER;
5;1;1;1;0,3333333;1150000;3;oversvømmelser;
6;1;1;1;0,3333333;2000000;3;Oversvømelser extrem vind og regn lavere tregrense stigende sntt temeratur nedsmelting av poler breer vannkavlitet;
2;2;1;0,25;0,3333333;500000;3;overraskende nok men jeg tror ikke særlig mye på dette det er litt overdrevet det fins mange viktigere saker å ta seg av;
6;2;1;0,75;0,6666667;300000;3;overforbruk av ressurser;
5;1;1;0,75;0,3333333;1600000;3;overflodssamfunn;
5;1;0;0,25;0,3333333;4000000;3;Overdrivelse;
3;2;1;0,5;0;380000;3;Overdrivelse;
4;2;0;0,5;1;16500;2;Overdrivelse;
4;1;0;0,25;0;450000;2;Overdrevet betydning;
5;2;0;0,5;0,3333333;341800;2;overdrevet;
6;1;0;0,25;0,3333333;600000;3;overdrevet;
6;1;0;0,25;0,3333333;400000;3;Overdrevent hysteri Mange organisasjoner ønsker å berike seg;
1;1;0;0;0;280000;1;Overdrevent;
3;1;0;0,25;0,3333333;1500000;3;overdrevent;
5;1;0;0,25;0,3333333;360000;3;Overdreven frykt;
3;1;0;0,25;0,3333333;410000;3;overdramatisert;
2;2;0;0,25;0,3333333;520000;3;Overdramatisert;
5;1;1;1;0,3333333;600000;3;Overbefolkning dårlig utnyttelse av verdens ressurser grådighet;
4;2;0;0,25;0,3333333;390000;0;Ovendrevet;
5;2;1;0,5;0;375000;2;Osonlaget;
3;2;1;0,5;0,3333333;0;2;Osonlag;
3;2;1;0,5;0,3333333;380000;1;orkan;
6;1;1;0,75;0,3333333;800000;3;orkan;
6;1;0;0,5;0,3333333;300000;1;Oppvarming av kloden nedsmelting av isbreer fenomener som tørre og varme steder på kloden blir varmere og tørrere steder med mye nedbør får økende nedbør - kort sagt klimatiske forhold blir dårligere;
6;1;1;0,5;0,3333333;600000;3;oppvarming;
2;2;0;0,25;0,3333333;0;3;Oppskrytt;
4;1;0;0,25;0,3333333;1000000;3;Oppgitthet;
5;2;1;0,75;0,6666667;630000;3;Oppgitthet;
2;2;0;0,25;0,3333333;227000;2;oppgitt;
1;1;0;0;0;7800;2;Oppblåst nyhetsoversksrift Dumme ungdommer og politikere som prater om det hele tiden;
2;1;0;0;0;700000;2;Oppblåst;
1;2;1;0,75;0,6666667;80000;3;oljeborring i lofoten og vestrålen;
2;1;1;1;0,6666667;0;3;Olje;
5;1;1;0,75;0,6666667;250000;2;Oftere dårlig vær med storm og regn-oversvømmelser;
1;1;1;0,75;0,6666667;60000;2;Off Ingen olje til neste generasjon Egoistiske amerikanera;
2;1;0;0,25;0,3333333;500000;2;off;
5;1;1;0,5;0,3333333;425000;3;Når skal dette ikke bare gjelde andre land men også for norske politikere særlig arbeiderpartiet;
2;2;1;0,75;0,3333333;200000;3;Når jeg leser eller hører ordet klimaendringer tenker jeg menneskeskapte ikke-reversible endringer av verdens klima med globale konsekvenser for alle jordens arter Smelting av poler ekstremvær klimaflyktninger FN kamp om ressurser klimapolitikk osv;
1;2;1;1;0,3333333;45000;1;Når jeg hører ordet klimaendringer tenker jeg på at det skjer store endringer i klimaet ved at vi oftere får naturkatastrofer som orkaner osv I tillegg så tenker jeg på at vi må minke utslippene våre av klimagasser slik at vi kan endre/minke denne utviklingen;
1;1;0;0;0;0;1;Nå må folk se å få huet ut av ræva og ut i sola klimaet endrer seg har alltid gjort det og kommer alltid til å gjøre det - til det engang er slutt Lite vi kan få gjort med det;
5;1;0;0,25;0;250000;0;Nå er forskerstanden ute etter lønnsøkning !;
3;1;0;0,5;0,6666667;600000;3;Nye muligheter;
6;2;0;0,75;0,3333333;238000;1;Ny istid og jordens undergang;
5;1;0;0,5;0,3333333;600000;0;Norge skal gå foran som et godt eksempel på klimatiltak men vi kan ikke redde verden alene;
2;2;1;1;0,6666667;700000;3;Norge og alle andre må handle nå! det er ikke for sent;
5;1;1;0,5;0,6666667;640000;3;Norge må begynne og redusere utslipp selv - ikke satse på at alle andre skal gjøre det Mer miljøvennlige biler - reduser / ta bort alle avgifter på slike biler;
2;1;0;0,75;0,6666667;900000;3;Norge kan ikke hjelpe hele verden ! Det er nok vi gjore her;
2;2;1;0,5;0,3333333;135000;3;Norge holder en ganske aktiv praksis i dette området;
5;1;1;0,25;0;1300000;3;Norge er et stort land med en forholdsvis liten og spredt befolkning Norge kan alene ikke redde verden I Norge koster bensinen 15 kr pr liter mens 325 millioner mennesker i f eks USA betaler 5 kr liter for samme produkt Å la den norske oljen ligge under havbunnen vil bare bety at det blir brukt mer kull i verden Kull er mer forurensende Jeg mener det må satses mer på solenergi Tilslutt mener jeg verdens befolkning øker i et tempo som tilslutt vil være årsaken til at vi ødelegger denne planeten;
4;2;0;0,25;0;0;1;Norge er et lite land som ikke kan gjøre noe uten de store land gjør no som å kaste peng ut vinduet det hjelper lite om ikke de som virkelig forurenser gjør no så gidd ikke de hvorfor vi ?;
1;1;0;0,25;0,3333333;40000;2;Norge bruker for mye penger på sånt tull!;
1;2;1;1;0;70000;3;Nordpolen smelter og vi kan ikke fikse opp i dette;
4;2;1;0,75;0,6666667;815000;2;Nordpolen smelter hyppige orkaner mye nedbør temperatur endringer;
1;1;1;0,5;0,3333333;0;1;nordpolen smelter havnivået vil stige varmere klima i norge flere land må kjempe mot det stigende havnivået hvordan forhindre klimaendringer;
5;2;1;0,75;0,6666667;465000;2;Nordpolen smelter;
5;2;0;0,75;0,3333333;0;2;nordpolen;
1;1;0;0,25;0,3333333;70000;2;Nordpolen;
5;1;0;0,25;0,3333333;437000;3;Noen som prøver å forsvare sin stilling i en jobb;
7;2;1;0,5;0,3333333;300000;1;noe å tenke på for alle;
1;1;0;0,5;0,3333333;300000;2;Noe som skjer;
4;1;0;0;0,3333333;430000;2;Noe som for tiden er populært å snakke om samt til å bruke som en 'legal unnskyldning' til å tillegge et produkt en ekstra avgift;
7;2;0;0,5;0,6666667;173916;1;Noe Overdrevet;
5;2;1;0,5;0,3333333;495000;3;Noe må gjøres Vi er relativt gode i den vestlige verden Det er øst-europa asia afrika og syd-amerika som må begynne å jobbe med utslippene fra sin industri Vesten må bidra med teknologi;
4;1;1;0,75;0,6666667;800;3;Noe må gjøres;
3;1;0;0;0,3333333;300000;2;"Noe menneskeskapt noe naturlig Norge er en middels by i Verdensstatestikk men vi skal betale og begrense oss for å ""redde"" miljø Latterlig !";
6;1;0;0,75;0;200000;0;noe menneskeskapt;
1;1;1;0,5;0,3333333;18000;2;Noe man er urolige for men man er ikke sikre på hvordan eventuelle endringer vil bli Jeg er for økt utvinning av olje og gass hvis og bare hvis dette kan erstatte energi som utvinnes fra kull som er mer forurensende Norge bør gå foran og dempe sine utslipp _Samtidig er det den samlede mengden utslipp for verden som teller derfor er olje og gass men aller helst fornybare energikilder å foretrekke fremfor kullkraft;
5;2;0;0,75;0;128000;1;Noe kan være menneskeskapt men tror også at klimaet alltid har hatt endringer i seg;
6;1;1;0,75;0,3333333;750000;3;Noe kan være menneskeskapt men det er umulig å vite hvor mye fordi klimaet har i historisk perspektiv gjennomgått veldig store endringer Klimaendringer fant sted før det bodde mennesker på jorden;
5;2;1;1;0;530000;2;"Noe jeg ikke like Føler meg hjelpeløs fordi ord og handlinger "" koker vekk i kålen"" ";
1;1;0;0,5;0,3333333;0;2;Noe helt naturlig som jorden har gjort i tusenvis av år men som blir forhastet av menneskenes påvirkning;
6;1;0;0,5;0,3333333;0;3;Noe har endret klimaet før i tiden også! Det nye er at menneskene nå - i større grad enn tidligere medvirker;
6;2;0;0;0;130;0;noe er menneskeskapt men det blir ikke tatt hensyn til solstormer forandring i univerdet og at nye planeter er kommet til og at det har vært klimaendringer før;
2;2;1;0,75;0,3333333;570000;3;Never blame the climate Wear the apparels according to climate;
3;1;1;0,75;0;0;3;Neste gererasjon vil slite med at dagens generasjon ikke har gjort nok;
5;1;1;0,75;0,3333333;780000;3;Neste generasjon;
2;1;1;0,75;0,6666667;450000;3;Negativt: issmelting og økning av havnivå;
5;1;0;0;0,3333333;650000;1;Negativt hysteri;
3;1;0;0,25;0,3333333;800000;3;Negativt globalt men ikke nødvendigvis lokalt Mye følelser på begge sider - som gjør det vanskelig å ha tillit til informasjonen man hører;
5;1;0;0,5;0;1300000;3;Negativt;
4;2;1;0,75;0,6666667;150000;2;Negative utsagn om klima Klima er i forandring og bør tas alvorlig Politikerne må ta dette på alvor og forutse hva som skjer på lang sikt om det ikke gjøres forebyggende tiltak;
4;1;1;0,75;0,3333333;700000;3;negative konsekvenser for kloden;
3;1;0;0,75;0,3333333;1000000;2;Negative globale endringer i værsystemer på jorden;
3;1;1;0,25;0,3333333;525000;3;Negative endringer på lang sikt mht vær temperaturer og vind som vil skape problemer for menneskene Isen smelter og vannet stiger;
3;2;1;0,75;0,3333333;700000;3;negative endringer i miljøet;
3;2;1;0,5;0,3333333;405000;3;Negativ utvikling;
4;1;1;0,75;0,6666667;450000;3;Nedsmeltining av arktis og antarktis og Kina sin miljøpolitikk også klimakvoter som er de vestlige lands ran av u-land;
6;1;1;0,75;0,3333333;500000;2;Nedsmelting stigende vannstand vind;
7;1;1;0,75;0,3333333;300000;1;Nedsmelting i polområdene Høyere vannstand;
5;1;1;0,75;0,3333333;400000;0;Nedsmelting av polområda og meir vind og nedbør;
4;2;0;0;0,3333333;150000;3;Nedsmelting av polene tyfoner orkaner kaldt i sør varmt i nord Miljøforurensende utslipp i form av fabrikkrøyk og andre avgasser;
4;1;1;0,75;0,3333333;550000;1;Nedsmelting av polene Havet stiger Problemer for store deler av den lavtliggende verden Folkevandring;
4;1;1;0,75;0,6666667;455000;2;nedsmelting av polene;
2;1;1;0,75;0,3333333;560000;3;Nedsmelting av polarisen;
4;1;1;0,5;0,6666667;430000;2;Nedsmelting av po l områdene;
6;1;0;0,75;0,6666667;309000;2;Nedsmelting av ismassene rundt polene;
3;2;1;0,5;0,3333333;448000;2;Nedsmelting av isbreer;
5;2;1;1;0,3333333;170000;2;Nedsmelting av is i polområdene;
6;2;1;1;0,3333333;0;3;Nedsmelting av is i polare strøk oppvarming av jorda store utslipp av klimagasser endring av livsbetingelser for alt liv;
3;1;0;0,25;0,3333333;860000;3;Nedbørintensitet flom ras;
6;1;0;0;0;350000;2;Nedbør temperatur;
5;2;1;0,5;0,3333333;145000;1;ned hogging av trær i Brasil Malaysia Cile og div andre land;
3;1;0;0;0;8000000;3;naturlige variasjoner useriøse forskere ute etter penger :-) ikke alle;
4;2;0;0,75;0;170000;2;naturlige variasjoner;
2;1;0;0;0;512000;3;Naturlige variasjoner;
1;1;0;0,25;0;292500;2;Naturlige endringer hovedsaklig forårsaket av solaktivitet! Menneskeskapt klimaendring er politisk propaganda som kun er skapt for å finne metoder å beskatte befolkningen mer og for å begrense eget oljebruk slik at vi har mer olje å selge til utlandet Jeg liker at vi kjemper for naturen og miljøet jeg tror det er viktigst for helse og frisk natur og turisme men skal vi redusere klimagasser må vi heller prioritere en mye bedre infrastruktur for å få transport raskere og sikrere fra A til B enn å fokusere på å bekjempe dette med skatter og avgifter Miljøavgifter er i hovedsak skadelig politikk for lavtlønnete og fattige vanlige folk Normale folk trenger bilen sin for å kjøre til og fra jobb Miljøavgifter er også dårlig for likestilling fordi flere og flere blir tvunget til tettsteder fordi kjøring blir dyrere enn å kunne ha friheten til å bo spredt ut i landet om de ønsker det Dette gjelder også for infrastrukturen Så mitt forslag for klimaendringer er at det mest moralske og beste for landet slik det er nå og fremover er å bygge ut en landsdekkende 4-8 felt motorvei av verdens høyeste standard Gjerne gå så langt at vi bygger bro eller tunnell over til Danmark;
5;1;0;0,5;0,3333333;800000;3;Naturlig variasjon som følge av sykluser som jorden tidligere har vært inne i Noe menneskeskapt utslipp men ikke mye i forhold til det naturen slipper ut Siste vulkanutbrudd på Island slapp nok f eks ut mye mer CO2 enn enn all industri i Norge kunne vise til i den perioden utbruddet varte;
5;1;0;0,5;0,3333333;450000;2;naturlig utvikling;
5;1;0;0,25;0;420000;2;Naturlig syklus som naturen styrer;
3;1;0;0,25;0;450000;3;Naturlig syklus;
2;1;0;0;0,3333333;500000;2;naturlig syklus;
5;1;1;0,5;0,6666667;1100000;3;naturlig svingning eller menneskeskapt;
4;1;0;0,25;0;600000;3;Naturlig skjer hele tiden;
2;1;0;0;0,6666667;0;1;NATURLIG og går i store sykluser;
6;2;0;0,5;0;300000;3;naturlig har skjedd i alle år variasjoner over år;
4;1;0;0,5;0,3333333;500000;2;naturlig forandringer p g a solen og planetenes gang;
1;1;1;0,5;0,3333333;600000;2;Naturlig fenomen som skjer regelmessig over en lenger periode MEN som mennesker har vært med på å fremskynde;
3;1;0;0;0;460000;2;naturlig endring ny istid på sikt;
3;1;0;0,25;0;350000;1;Naturlig;
5;1;0;0,25;0,3333333;450000;1;Naturlig;
2;1;0;0,5;0,3333333;360000;2;Naturlig;
5;1;0;0,5;0,6666667;350000;2;naturlig;
4;1;0;0,25;0;500000;2;Naturlig;
2;2;1;0,75;0,6666667;430000;3;naturkatastrofer smeltende is ekstremvær;
4;2;1;0,75;0,6666667;740000;3;Naturkatastrofer og tragedier;
3;2;1;0,75;0,6666667;480000;3;Naturkatastrofer klimaflyktninger vannmangel krig død barn og barnebarn;
4;2;1;0,75;0,3333333;380000;3;Naturkatastrofer i andre deler av verden Overforbruk av ressurser i vår del av verden;
3;1;1;0,75;0,3333333;710000;3;Naturkatastrofer Hetebølger Flommer;
4;2;1;0,75;0,3333333;500000;3;Naturkatastrofer forurensing;
7;2;1;1;0,3333333;248095;2;naturkatastrofer flom mye nedbør mildere vintre snøsmelting polene smelter jordskjelv;
1;2;1;0,5;0,3333333;40000;2;Naturkatastrofer;
5;2;1;1;0,6666667;400000;1;Naturkatastrofer;
5;2;0;0,25;0;300000;3;naturkatastrofer;
2;2;1;0,75;0,6666667;550000;3;Naturkatastrofer;
6;2;1;0,75;0,6666667;0;1;Naturkatastrofer;
3;1;1;0,5;0;900000;3;Naturkatastrofer;
5;2;1;1;0,6666667;200000;2;Naturkatastrofer;
5;2;1;0,5;0,3333333;0;3;naturkatastrofer;
5;1;1;0,75;0,6666667;800000;3;Naturkatastrofer;
5;1;1;1;0,3333333;650000;3;Naturkatastrofer;
2;1;1;1;0,3333333;320000;1;Naturkatastrofer;
3;2;1;0,75;0,3333333;408000;3;Naturkatastrofer;
3;2;0;0,75;0,3333333;450000;3;Naturkatastrofer;
