"X"	"age"	"gender"	"humanmade"	"concern"	"efficacy"	"income"	"edu3"	"translation"	"univdummy"	"theta1"	"theta2"	"theta3"	"theta4"
"565"	564	2	1	0	0.25	0.3333333	100000	2	"Happens naturally during periods and humans have something but little guilt in these "	0	0.0402397019022588	0.812584539480062	0.110052598055119	0.03712316056256
"566"	565	2	1	1	0	0	420000	2	"Does not happen in my life think technology takes the largest climate threat "	0	0.0615458921892476	0.712695735041012	0.175063523604659	0.0506948491650807
"567"	566	5	2	0	0.5	0.6666667	650000	0	"happened before in the world too "	0	0.100959146611497	0.688770955724974	0.100373156108528	0.109896741555001
"568"	567	4	1	0	0.25	0	350000	1	"Skeptical something exaggerated I think "	0	0.0427838596591868	0.847999377937693	0.0692596134714462	0.039957148931674
"569"	568	4	2	1	0.75	0.6666667	450000	3	"Damage to Nature / Wildlife Large weather changes Contaminated soil air and water "	1	0.570464886224695	0.0959756046604289	0.134803323795465	0.198756185319411
"570"	569	4	1	1	1	0.3333333	370000	3	"Damage "	1	0.318573860650212	0.23542720756587	0.211182074798002	0.234816856985916
"571"	570	5	1	1	0.75	0.3333333	0	2	"Malicious greenhouse gases "	0	0.210649512378152	0.113917452032069	0.0963225178360794	0.579110517753699
"572"	571	2	2	1	0.75	0.6666667	460000	3	"Lower consumption "	1	0.0985134173375048	0.599570724431667	0.194354889614623	0.107560968616206
"573"	572	1	1	1	0.5	0.6666667	328000	1	"Investment on renewable energy must "	0	0.106517618347905	0.528616768591879	0.245741877406975	0.119123735653241
"574"	573	2	1	1	0.25	0.3333333	1600000	3	"true sad but so that is only "	1	0.210179085361682	0.189720477156645	0.148319020213218	0.451781417268455
"575"	574	6	2	1	0.75	0.3333333	1000000	3	"Composite human and Tknisk reason limit the population more pure energy Minde coal oil better than coal "	1	0.0950743462614358	0.543992215838568	0.306612032526942	0.0543214053730547
"576"	575	2	1	1	0.5	0.3333333	480000	3	"Composite complex multi-sided case where people play an important role - but there are also larger fluctuations that follow the globe / sun etc. that has nothing to do with human behavior to do I look well from both of these pages and are not very concerned about the development is simultaneously busy of doing mine to contribute e items against recycling / recycling / reuse etc "	1	0.14638211034527	0.638955671553365	0.167495419240334	0.0471667988610306
"577"	576	5	2	1	1	0.6666667	0	3	"Society must pay attention to climate change and each one must be willing to do something for us to take care of the world we live in "	1	0.0415673956197162	0.783012526942239	0.148286676556487	0.0271334008815573
"578"	577	3	2	1	0.5	0	351000	2	"The community is not good enough on reuse is for for use-throw mentality "	0	0.0651544903298966	0.75581207117995	0.116983201194071	0.0620502372960831
"579"	578	5	1	0	0.5	0.3333333	300000	1	"The room is in exposure thus changing the climate of the climate too "	0	0.0435109284560217	0.847418170978211	0.0705637228377771	0.0385071777279904
"581"	580	5	2	1	0.75	0.3333333	250000	3	"Clean air clean water "	1	0.226846119126057	0.379178241983198	0.160829380795944	0.2331462580948
"582"	581	4	2	0	0.75	0.3333333	470000	3	"clean air "	1	0.214378886570526	0.472525698928255	0.161590969451937	0.151504445049283
"584"	583	2	2	0	0.75	0.3333333	320000	2	"The rainforest. "	0	0.168062174107389	0.277278463827348	0.114502894419037	0.440156467646226
"585"	584	3	2	1	0.75	0.3333333	400000	3	"Rain increased water level "	1	0.245439463327679	0.0704477059438946	0.0888796531123347	0.595233177616092
"586"	585	4	1	1	0.5	0.3333333	650000	2	"Rain in summer "	0	0.201528755810061	0.118871752928125	0.0936942244349535	0.58590526682686
"587"	586	4	2	1	0.5	0.3333333	400000	3	"Rain and wind "	1	0.216138751499195	0.0896122104371913	0.0927070749861755	0.601541963077439
"588"	587	5	2	1	1	0.6666667	501600	3	"rain and wind "	1	0.22025756212445	0.0830711733736867	0.100222184625052	0.596449079876812
"589"	588	4	2	0	0.5	0.3333333	400000	3	"Rain and storm "	1	0.307123348112252	0.17539942967626	0.115238171140468	0.40223905107102
"590"	589	5	2	1	1	0.6666667	650000	3	"rain and storm "	1	0.341841440652556	0.104320526778156	0.12904949653028	0.424788536039008
"591"	590	6	2	1	0.5	0.6666667	235000	3	"Rain and floods "	1	0.242935624854028	0.0725458113283995	0.0827804110381551	0.601738152779418
"592"	591	6	2	1	0.75	0.6666667	250000	3	"rain and flood "	1	0.238572619381685	0.0747527865115176	0.0890252355593234	0.597649358547474
"593"	592	1	2	1	0.5	0.6666667	40000	3	"Rain less snow than when I was a child natural disasters "	1	0.233271005639785	0.158240617170828	0.22340515915309	0.385083218036297
"594"	593	4	2	1	0.75	0.3333333	450000	3	"rain moisture imbalance in nature "	1	0.212946746341397	0.221291136379406	0.273112222926334	0.292649894352864
"595"	594	5	2	1	0.5	0.6666667	360000	2	"Rain "	0	0.253087296438747	0.128620025601403	0.0986792828932992	0.51961339506655
"596"	595	4	2	1	0.75	0.6666667	400000	2	"Rain "	0	0.230590091857094	0.1441008339644	0.11136253682414	0.513946537354366
"597"	596	5	1	1	0.75	0	350000	2	"rain "	0	0.236997090089523	0.184848299051356	0.130085106373409	0.448069504485712
"598"	597	4	1	1	0.5	0.6666667	550000	1	"Rain "	0	0.214945573678708	0.187832676324181	0.104245724323645	0.492976025673466
"599"	598	4	2	1	0.75	0.3333333	650000	3	"Rain "	1	0.242445567638991	0.140138246355218	0.132915935146309	0.484500250859483
"600"	599	6	2	1	0.75	0.6666667	250000	1	"Rain "	0	0.251173818265256	0.132577388163019	0.085671765578739	0.530577027992986
"601"	600	5	2	0	0.25	0.3333333	1200000	3	"Rain "	1	0.239768026621313	0.206978456288274	0.108367374001155	0.444886143089257
"602"	601	2	1	0	0.5	0.3333333	500000	1	"Rain "	0	0.151250010570006	0.335355344609406	0.101673562350571	0.411721082470017
"603"	602	2	1	0	0.75	0.6666667	700000	3	"Real but with uncertain cause more actors on either side of the debate with large intrinsic interests lacking completely objective sources according to what becomes the consequences / danger of the changes but something must be done "	1	0.0745649688414953	0.625185011511361	0.254766554818837	0.0454834648283063
"604"	603	1	2	1	0.75	0.6666667	30000	3	"Reduced consumption and emissions (less shopping - especially everything that has mass production and cheap chains to make throwing less food run smaller car and fly-more collectively smaller electricity and water consumption + course source sorting) "	1	0.111157616276068	0.458874755290316	0.322678283301525	0.107289345132091
"605"	604	5	2	1	0.75	0.3333333	300000	3	"Reduced consumption Fossil resources "	1	0.202355662744201	0.457518088626894	0.223611177119173	0.116515071509732
"606"	605	5	2	1	0.75	0.6666667	520000	3	"Reduce driving heating in homes Learning about the environment and influence of climate in kindergarten / school "	1	0.0944706511782636	0.648950757132115	0.134441964638199	0.122136627051422
"607"	606	2	2	0	0.5	0.3333333	0	3	"Reduction of production "	1	0.124191293589423	0.543895930827976	0.200033909867686	0.131878865714915
"608"	607	4	2	1	0.75	0.6666667	456000	3	"Reduction of greenhouse gas emissions Ice melting - poor animals / seals / polar bears stop slaughtering the rainforest "	1	0.121425033368361	0.0605254851246867	0.0813286844545523	0.7367207970524
"612"	611	6	1	0	0.5	0.3333333	270000	1	"Ras and flood "	0	0.195818362957069	0.173738494716396	0.069764504599586	0.560678637726948
"613"	612	7	1	0	0.25	0.3333333	350000	1	"Profits for new and higher fees! "	0	0.133339724306037	0.581796997288981	0.0891816032567085	0.195681675148273
"614"	613	4	2	1	0.5	0.3333333	350000	2	"Due to greenhouse gases and marryes that are towed out, climate change is the ice in the Arctic Melting Sea level Stig sea temperature Stig which in turn leads to powerful stormar and natural disastrofar and powerful rainfall in Norway leads to RAS and Flaum "	0	0.213380764227747	0.134428477518179	0.0824696510579314	0.569721107196142
"617"	616	3	2	1	1	0.6666667	0	1	"Try to do something to improve climate crisis "	0	0.0947329225355711	0.601922022941584	0.119267792071737	0.184077262451108
"618"	617	3	1	0	0.25	0.3333333	700000	3	"Provocatively unafferted representation of one phenomenon that is proving more causal relationships "	1	0.0725343943026048	0.730699228269853	0.131698616962023	0.0650677604655193
"619"	618	1	2	1	0.75	0.6666667	130000	2	"Problems and weather "	0	0.203581287895105	0.425559161403339	0.17617397685497	0.194685573846586
"620"	619	2	2	1	1	0.6666667	465000	3	"problems "	1	0.105516569705098	0.575063663656242	0.204213490419624	0.115206276219036
"621"	620	2	1	1	0.75	0.3333333	0	0	"Problem "	0	0.0752548484384916	0.707999400724754	0.114299953499794	0.10244579733696
"622"	621	5	1	0	0.25	0.3333333	600000	3	"Prater a lot but do little "	1	0.118680016588556	0.603821117443455	0.191234776206362	0.0862640897616268
"623"	622	3	2	1	0.5	0.6666667	460000	3	"Potential future effects of global climate change include: -uttensity of tropical storms -Skog fires emergency "	1	0.201909383839237	0.370602804702992	0.30884268388093	0.118645127576841
"625"	624	6	1	1	0.25	0.3333333	600000	2	"populism "	0	0.238376003147221	0.354923565539113	0.218149688706326	0.18855074260734
"626"	625	3	2	1	0.5	0.3333333	340000	3	"Pole melting that the sea rises wetter climate "	1	0.140791263373971	0.135238584752624	0.0867911636630064	0.637178988210399
"628"	627	5	1	0	0	0	500000	3	"Politically managed \"research\" researchers on thin ice "	1	0.0872903176719576	0.694665096662372	0.104136565287005	0.113908020378665
"629"	628	1	2	1	0.5	0.3333333	200000	3	"Political debate and cheating from Maalinger "	1	0.115395450496816	0.520894845358842	0.243763050073017	0.119946654071326
"630"	629	2	1	1	0.25	0.3333333	700000	2	"Political bible "	0	0.0948004664364698	0.651051994762451	0.151906327595228	0.102241211205851
"631"	630	2	1	1	0.25	0	580000	3	"Political agenda "	1	0.0963528002992104	0.634549490424818	0.178007750132505	0.0910899591434661
"632"	631	5	1	1	0.75	0.3333333	170000	0	"Policy repetition left without goals and action "	0	0.0618128218133365	0.787876807114753	0.0903432044941204	0.0599671665777901
"633"	632	3	2	1	0.5	0.6666667	0	3	"Policy boring fussy "	1	0.13425627335463	0.546284551184173	0.186618331352245	0.132840844108952
"634"	633	4	2	1	0.5	0.6666667	650000	3	"Policy "	1	0.149592056673734	0.528152519486586	0.185442869364868	0.136812554474811
"635"	634	1	1	0	0	0	120000	2	"Policy "	0	0.0534414336404076	0.786770073207563	0.099109954606568	0.0606785385454614
"636"	635	1	1	0	0.25	0.3333333	350000	2	"Policy "	0	0.052444802749519	0.780066958824206	0.106054041677665	0.0614341967486104
"637"	636	4	1	1	0.5	0.3333333	620000	3	"Policy "	1	0.121411889927022	0.58724521896978	0.190315527193229	0.101027363909969
"638"	637	4	2	1	0.75	0	0	3	"Policy "	1	0.134470947122619	0.557709068050503	0.189274049741497	0.118545935085381
"639"	638	4	1	0	0.5	0	400000	2	"Politicians add the list for progress and success for each country All politicians will point to progress in their period but when the environment and other problems come so we are (common workers) who are the guilty moreover, we have always had a long-term climate change here on earth As we are not Lord of influenced by earthquake volcanic eruptions land plate shifts change in distance to the sun etc. "	0	0.0143017641704591	0.931263949118207	0.0439965612435642	0.0104377254677696
"641"	640	4	1	0	0.5	0.3333333	1200000	3	"Police Melting. "	1	0.202741145744772	0.269701390533984	0.138288389998838	0.389269073722405
"643"	642	1	1	1	1	0.3333333	200000	2	"Poles Temperature endangered species CO2 Meat cookies and brown sauce "	0	0.228469156341989	0.128876882563364	0.121197770091721	0.521456191002926
"644"	643	2	1	0	0.5	0.3333333	620000	3	"The poles that melt warmer climate and more extreme weather "	1	0.250021400694361	0.20712458657824	0.112473949275033	0.430380063452366
"645"	644	1	2	1	1	0	25000	2	"The poles melt the sea rising higher coastline = smaller land several animal species die out greenhouse effect "	0	0.0828276565546255	0.0403826608043774	0.0463930415691467	0.83039664107185
"646"	645	1	1	1	0.5	0.3333333	200000	1	"The poles melt "	0	0.154887315544859	0.152972111981602	0.0883424050123819	0.603798167461158
"647"	646	2	2	0	0.5	0.3333333	490000	3	"The poles melt "	1	0.170786573657342	0.162452605775096	0.0970449842782133	0.569715836289348
"648"	647	1	1	1	0.75	0.3333333	50000	2	"Polarized debate "	0	0.167255485122828	0.27262779663783	0.214457389637147	0.345659328602195
"649"	648	2	2	1	0.5	0.6666667	440000	2	"Pol smelting "	0	0.20383416201298	0.162352756281669	0.112794122978465	0.521018958726886
"650"	649	2	1	1	0.5	0.3333333	390000	2	"The pole ice creams melt "	0	0.157379865934705	0.0995506264729214	0.081441174174764	0.66162833341761
"651"	650	3	1	0	0.5	0	430000	0	"pol ice melts "	0	0.14822029062526	0.220313606874661	0.0640486779329496	0.56741742456713
"652"	651	4	1	0	0.5	0	450000	3	"Planet in the universe little dot without significance climate is composed something is man-made otherwise planetary influence "	1	0.0234485702509453	0.888743954239107	0.0712345089559663	0.0165729665539818
"653"	652	1	1	0	0.25	0	120000	2	"People who earn millions on talking about climate change but themselves are environmental wine "	0	0.0242295095521606	0.881861393575852	0.069158211195997	0.0247508856759903
"656"	655	5	2	1	0.75	0.3333333	560000	3	"Ozone layer. "	1	0.225441853105831	0.0853315385112794	0.0949362361753665	0.594290372207523
"657"	656	1	2	1	1	0.6666667	152000	0	"ozone layer. "	0	0.142864042836511	0.137340266811079	0.0720165373401487	0.647779153012261
"658"	657	5	2	1	0.75	0.6666667	520000	3	"ozone layer. "	1	0.224668429718058	0.0808940097575322	0.0934695538903084	0.600968006634102
"659"	658	2	2	1	0.75	0.6666667	100000	2	"Ozone Layer is on the way to be destroyed due to kemicolic fabrics ME User daily "	0	0.164263198750746	0.26674188666828	0.155176766364138	0.413818148216837
"660"	659	7	1	1	0.75	0.6666667	0	3	"OZONE "	1	0.286933997219015	0.131376350845483	0.13610105096528	0.445588600970222
"662"	661	2	1	1	0	0	530000	2	"Overvalued climate will always change we affect it probably negatively but people in their entirety cannot make any difference then we must reduce the number of people and seems especially not Norway needs to be an example of good climate policy as a nation should keep with stricter rules against new businesses and houses / blocks and \"promote\" for good recycling "	0	0.0305289346937581	0.888331753370887	0.0627277699267657	0.0184115420085889
"663"	662	5	2	1	0.75	0.3333333	500000	3	"Floods Strong wind higher temperature ice melting "	1	0.200920514918224	0.0379577860848326	0.0550633657472116	0.706058333249732
"664"	663	3	1	1	0.75	0.3333333	460000	3	"Floods and folk wands "	1	0.214196197244867	0.185770787039733	0.162755487769613	0.437277527945787
"665"	664	6	2	1	0.5	0.6666667	0	2	"Floods "	0	0.270603989717484	0.118119677917875	0.09379337248104	0.5174829598836
"666"	665	5	2	1	1	0.6666667	400000	3	"Floods "	1	0.25379713333134	0.126081407995817	0.134208042425537	0.485913416247306
"667"	666	5	1	1	1	0.3333333	1150000	3	"Floods "	1	0.242210692160981	0.165844405699398	0.16114991555717	0.430794986582451
"668"	667	6	1	1	1	0.3333333	2000000	3	"Floods Extrem Wind and Rain Lower Tree Lower Ascending Section Temperature meltdown of poles glaciers Waterbreak "	1	0.200467028967539	0.035076547352629	0.0572948637178485	0.707161559961983
"669"	668	2	2	1	0.25	0.3333333	500000	3	"Surprisingly enough but I don't think much about this it's a little exaggerated there are many more important things to take care of "	1	0.0251204317789709	0.876803138678824	0.0766554128006703	0.0214210167415345
"670"	669	6	2	1	0.75	0.6666667	300000	3	"Overuse of resources "	1	0.256225900970521	0.283680911671104	0.255914187746232	0.204178999612143
"672"	671	5	1	0	0.25	0.3333333	4000000	3	"Exaggeration "	1	0.0934488429299887	0.700918723436256	0.133912850681721	0.0717195829520339
"673"	672	3	2	1	0.5	0	380000	3	"Exaggeration "	1	0.123707091884055	0.578373585212779	0.180591119248054	0.117328203655113
"674"	673	4	2	0	0.5	1	16500	2	"Exaggeration "	0	0.0977638759838954	0.680490935878657	0.118442145584353	0.103303042553095
"675"	674	4	1	0	0.25	0	450000	2	"Exaggerated meaning "	0	0.102403505281754	0.648737931450059	0.161545318824809	0.0873132444433782
"676"	675	5	2	0	0.5	0.3333333	341800	2	"excessive "	0	0.184544025861236	0.460744123283198	0.182909529425538	0.171802321430029
"677"	676	6	1	0	0.25	0.3333333	600000	3	"excessive "	1	0.191059505959271	0.456523480555036	0.21487042999432	0.137546583491373
"678"	677	6	1	0	0.25	0.3333333	400000	3	"Excessive hysteria many organizations want to enrich "	1	0.080230012138285	0.718014000834752	0.151047131612219	0.0507088554147443
"679"	678	1	1	0	0	0	280000	1	"Excessive "	0	0.107164132145085	0.606239406203401	0.150204529015267	0.136391932636248
"680"	679	3	1	0	0.25	0.3333333	1500000	3	"excessive "	1	0.141913774855065	0.507277291680718	0.221921118927889	0.128887814536328
"681"	680	5	1	0	0.25	0.3333333	360000	3	"Excessive fear "	1	0.173624120582995	0.473678203325921	0.217694744048671	0.135002932042413
"684"	683	5	1	1	1	0.3333333	600000	3	"Overcrowding poor utilization of world resources greed "	1	0.169686673652019	0.313228581374305	0.397653267685932	0.119431477287744
"685"	684	4	2	0	0.25	0.3333333	390000	0	"End "	0	0.109414879031093	0.64969140457623	0.0782156813350727	0.162678035057605
"688"	687	3	2	1	0.5	0.3333333	380000	1	"the energy "	0	0.191071427623071	0.390883219157658	0.192261975553447	0.225783377665823
"689"	688	6	1	1	0.75	0.3333333	800000	3	"the energy "	1	0.224482213495474	0.33355624305047	0.27843272935476	0.163528814099297
"690"	689	6	1	0	0.5	0.3333333	300000	1	"Heating the globe melting of glaciers phenomena such as dry and warm places on the globe gets warmer and drier places with a lot of rainfall gain rainfall - short climatic conditions become poorer "	0	0.178552150623437	0.20047746935854	0.0722572889100269	0.548713091107996
"691"	690	6	1	1	0.5	0.3333333	600000	3	"heating "	1	0.274500574340969	0.145963037377342	0.134848381668202	0.444688006613486
"692"	691	2	2	0	0.25	0.3333333	0	3	"Rise "	1	0.189490437675633	0.249599351805872	0.120037517102891	0.440872693415603
"695"	694	2	2	0	0.25	0.3333333	227000	2	"tired "	0	0.143178722888394	0.510433027709223	0.179431281881115	0.166956967521268
"696"	695	1	1	0	0	0	7800	2	"Bloated newspaper stupid youth and politicians who talk about it all the time "	0	0.033269411720404	0.854037031969273	0.0775688399917737	0.0351247163185491
"698"	697	1	2	1	0.75	0.6666667	80000	3	"Oil drilling in Lofoten and Vesterålen "	1	0.109096378044826	0.565083477143694	0.199285505115085	0.126534639696395
"699"	698	2	1	1	1	0.6666667	0	3	"Oil "	1	0.09384849069275	0.598404850389681	0.213254023978092	0.0944926349394761
"700"	699	5	1	1	0.75	0.6666667	250000	2	"More often bad weather with storm and rain flooding "	0	0.464748307753916	0.0744906556996443	0.090231472810248	0.370529563736192
"701"	700	1	1	1	0.75	0.6666667	60000	2	"Off No oil for next generation of selfish American "	0	0.109955759922647	0.48613396529339	0.291962279104818	0.111947995679145
"703"	702	5	1	1	0.5	0.3333333	425000	3	"When will this not only apply to other countries but also for Norwegian politicians in particular the Labor Party "	1	0.0647507717423766	0.736723019648971	0.155373156591865	0.0431530520167871
"704"	703	2	2	1	0.75	0.3333333	200000	3	"When I read or hear the word climate change, I think man-made non-reversible changes of the world's climate with global consequences for all the earth's species melting of poles extreme weather Climate figures Fn battle for resources climate policy etc "	1	0.122051753155709	0.5605825949242	0.183668153224423	0.133697498695668
"705"	704	1	2	1	1	0.3333333	45000	1	"When I hear the word climate change, I think that there are major changes in the climate by getting natural disasters such as hurricanes, etc. In addition, I think we must decrease our emissions of greenhouse gases so that we can change / decrease this development "	0	0.0648052570604666	0.659380383343374	0.126665167107895	0.149149192488264
"706"	705	1	1	0	0	0	0	1	"Now people have to see getting out of ass and out in the sun climate change has always done it and always going to do it - until it even ends little we can get done with it "	0	0.0121070310649547	0.939033372927657	0.0358104409100901	0.0130491550972987
"707"	706	5	1	0	0.25	0	250000	0	"Now the research state is looking for pay increase! "	0	0.0902768169474645	0.778154927179662	0.0675947113442594	0.0639735445286148
"708"	707	3	1	0	0.5	0.6666667	600000	3	"New opportunities "	1	0.0524603395377068	0.780351715513333	0.120829858713291	0.0463580862356694
"709"	708	6	2	0	0.75	0.3333333	238000	1	"New Ice Time and Earth's downfall "	0	0.102995250110013	0.644110383851156	0.0880220011450022	0.164872364893828
"710"	709	5	1	0	0.5	0.3333333	600000	0	"Norway will go ahead as a good example of climate measures but we cannot save the world alone "	0	0.033788841600072	0.874001101289199	0.0622237169220298	0.0299863401886997
"711"	710	2	2	1	1	0.6666667	700000	3	"Norway and everyone else must act now! It's not too late "	1	0.0408706305954438	0.794185580744126	0.126416545722313	0.0385272429381182
"712"	711	5	1	1	0.5	0.6666667	640000	3	"Norway must begin and reduce emissions itself - do not focus on everyone else to make it more environmentally friendly cars - reduce / take away all fees on such cars "	1	0.0216665105008646	0.89477090565264	0.0694937817694831	0.0140688020770126
"713"	712	2	1	0	0.75	0.6666667	900000	3	"Norway cannot help the whole world! That's enough we do here "	1	0.0456990966907996	0.766367529609914	0.146670386048352	0.041262987650935
"714"	713	2	2	1	0.5	0.3333333	135000	3	"Norway keeps a fairly active practice in this area "	1	0.194257832664142	0.468888875201078	0.16883094709781	0.16802234503697
"715"	714	5	1	1	0.25	0	1300000	3	"Norway is a large country with a relatively small and scattered population Norway alone does not save the world in Norway costs gasoline 15 kr per liter while 325 million people IF ex United States pay 5 kr liters for the same product to let the Norwegian oil lie under the seabed will only mean that more coal in the world coal is more polluting I believe it must be invested more on solar integrate I believe the world's population increases at a pace that will eventually be the reason why we destroy this planet "	1	0.0757714172750885	0.615275096437922	0.283216774992211	0.0257367112947793
"716"	715	4	2	0	0.25	0	0	1	"Norway is a small country that can't do anything without the big countries doing no as throwing the money out the window it helps little about not those who really contaminate doing no so didn't they do why we? "	0	0.0541700162296525	0.852150318799711	0.0567274907703311	0.0369521742003057
"717"	716	1	1	0	0.25	0.3333333	40000	2	"Norway spends too much money on that nonsense! "	0	0.0527055301008867	0.758083632457146	0.133252311033975	0.0559585264079919
"718"	717	1	2	1	1	0	70000	3	"The North Pole melts and we can't fix up in this "	1	0.151811656511934	0.0888365785454149	0.0970922053418119	0.662259559600839
"719"	718	4	2	1	0.75	0.6666667	815000	2	"The North Pole melts frequent hurricanes a lot of rainfall temperature changes "	0	0.288534041584551	0.0859959105309362	0.101481418753058	0.523988629131455
"720"	719	1	1	1	0.5	0.3333333	0	1	"The North Pole melts sea level will rise warmer climate in Norway several countries must fight against the rising sea level How to prevent climate change "	0	0.061576806621519	0.401797300055701	0.0668792244813041	0.469746668841476
"721"	720	5	2	1	0.75	0.6666667	465000	2	"The North Pole melts "	0	0.187926412371937	0.0666142560729035	0.0648129922309021	0.680646339324258
"722"	721	5	2	0	0.75	0.3333333	0	2	"North Pole. "	0	0.194924436867786	0.149755468698677	0.0791203061816478	0.576199788251889
"723"	722	1	1	0	0.25	0.3333333	70000	2	"North Pole. "	0	0.147990907104643	0.207006594691885	0.0905817096985267	0.554420788504945
"725"	724	7	2	1	0.5	0.3333333	300000	1	"something to think about for everyone "	0	0.0940444254629489	0.732292382328509	0.0998489140758506	0.0738142781326914
"726"	725	1	1	0	0.5	0.3333333	300000	2	"Something that happens "	0	0.0371853408427229	0.825161038412739	0.095660591259864	0.0419930294846746
"727"	726	4	1	0	0	0.3333333	430000	2	"Something that is currently popular to talk about as well as to use as an 'legal excuse' to add a product an additional fee "	0	0.0351442037332996	0.862353813222286	0.0748770123936763	0.027624970650738
"728"	727	7	2	0	0.5	0.6666667	173916	1	"Something exaggerated "	0	0.0899849532459181	0.748684556590337	0.0843735872941513	0.0769569028695943
"729"	728	5	2	1	0.5	0.3333333	495000	3	"Something must be done We are relatively good in the Western World It is Eastern Europe Asia Africa and South America who must start working with emissions from its industry West must contribute technology "	1	0.0522667436838472	0.763232525540219	0.124941248351199	0.0595594824247353
"730"	729	4	1	1	0.75	0.6666667	800	3	"Something has to be done "	1	0.0809031901560755	0.681391861068	0.172008901072422	0.0656960477035018
"731"	730	3	1	0	0	0.3333333	300000	2	"Something man-made something natural Norway is a medium town in the world state stick but we will pay and limit ourselves to \"save\" environment ridiculous! "	0	0.0345277195763517	0.835582266934083	0.103226174652859	0.0266638388367069
"732"	731	6	1	0	0.75	0	200000	0	"something manmade "	0	0.0744083038576055	0.772730097726496	0.0801830483590024	0.0726785500568961
"733"	732	1	1	1	0.5	0.3333333	18000	2	"Something one is troubled but one is not sure how any changes will be I am too increased the extraction of oil and gas if and only if this can replace energy recovered from coal, which is more polluting Norway should go ahead and curb their emissions _samptu Is it the overall amount of emissions for the world that counts therefore are oil and gas but most preferably renewable energy sources preferable to coal power "	0	0.0778757089779864	0.461108820395476	0.410309861286486	0.0507056093400513
"734"	733	5	2	0	0.75	0	128000	1	"Something can be man-made but also believe that the climate has always had changes in it "	0	0.0285361238787534	0.893031321550506	0.0539051931028664	0.0245273614678748
"735"	734	6	1	1	0.75	0.3333333	750000	3	"Something can be man-made but it is impossible to know how much because the climate has in historical perspective undergone very large changes climate change took place before living people on earth "	1	0.064718919359809	0.784311671096469	0.119972908708405	0.0309965008353166
"736"	735	5	2	1	1	0	530000	2	"Something I don't like feeling helpless because words and actions \"boil away in the cabbage\" "	0	0.0441565865618953	0.823958636201058	0.0973397631228158	0.0345450141142314
"737"	736	1	1	0	0.5	0.3333333	0	2	"Something quite natural as the earth has done for thousands of years but being hasty by human influence "	0	0.0251995910175224	0.856642348992547	0.0935007896143579	0.0246572703755732
"738"	737	6	1	0	0.5	0.3333333	0	3	"Something has changed the climate before in time too! The new one is that people now - to a greater extent than previously participate "	1	0.0323183127619478	0.858754650522022	0.089833358864658	0.0190936778513724
"739"	738	6	2	0	0	0	130	0	"Something is man-made but it is not taken into account solar storms change in the universe and that new planets have come to and that there have been climate change before "	0	0.0709364249739165	0.835810686558625	0.0486253577640876	0.044627530703371
"740"	739	2	2	1	0.75	0.3333333	570000	3	"Never blame the climate Wear the apparels according to climate "	1	0.0595001820735369	0.736780418998222	0.146696786375643	0.057022612552598
"741"	740	3	1	1	0.75	0	0	3	"Next Geration will struggle that today's generation has not done enough "	1	0.0737799759709545	0.607551816774299	0.265094163607307	0.0535740436474392
"742"	741	5	1	1	0.75	0.3333333	780000	3	"Next generation "	1	0.190701326148068	0.329551064064061	0.342447796711546	0.137299813076325
"743"	742	2	1	1	0.75	0.6666667	450000	3	"Negative: Ice melting and increase in sea level "	1	0.190005271984506	0.0719993647661783	0.0872166950993275	0.650778668149989
"744"	743	5	1	0	0	0.3333333	650000	1	"Negative hysteria "	0	0.0689502099560032	0.788370460870678	0.0780566563840155	0.0646226727893035
"745"	744	3	1	0	0.25	0.3333333	800000	3	"Negatively globally but not necessarily locally much feelings on both sides - which makes it difficult to have confidence in the information one hears "	1	0.0717522771235888	0.759557265041159	0.124607136032472	0.04408332180278
"746"	745	5	1	0	0.5	0	1300000	3	"Negatively "	1	0.0936292780918715	0.690299358349549	0.141453078592538	0.0746182849660412
"747"	746	4	2	1	0.75	0.6666667	150000	2	"Negative statements about climate Climate are changing and should be taken serious politicians must take this seriously and predict what happens in the long term if preventative measures are not made "	0	0.0279720167532229	0.861334043273181	0.0889542490679451	0.0217396909056508
"748"	747	4	1	1	0.75	0.3333333	700000	3	"Negative consequences for the globe "	1	0.112122376745919	0.558502651370264	0.241073930469738	0.0883010414140792
"749"	748	3	1	0	0.75	0.3333333	1000000	2	"Negative global changes in weather systems on earth "	0	0.113385089886792	0.651901928333151	0.15628179794568	0.078431183834377
"750"	749	3	1	1	0.25	0.3333333	525000	3	"Negative changes in long term MHT weather temperatures and winds that will cause problems for the people the ice melts and the water rises "	1	0.18430913942343	0.295657206377498	0.191123349050376	0.328910305148696
"751"	750	3	2	1	0.75	0.3333333	700000	3	"Negative changes in the environment "	1	0.0752912341331697	0.703851784236756	0.152475862305863	0.0683811193242111
"752"	751	3	2	1	0.5	0.3333333	405000	3	"Negative development "	1	0.141974896167359	0.492140854879353	0.225597360370085	0.140286888583203
"753"	752	4	1	1	0.75	0.6666667	450000	3	"Melting of the Arctic and Antarctica and China's environmental policy also climate quotas that are the western country's robbery of U-countries "	1	0.0737247327096127	0.656257526733956	0.123070025931951	0.146947714624481
"754"	753	6	1	1	0.75	0.3333333	500000	2	"Melting rising water level wind "	0	0.159943743636979	0.0527543331492089	0.0544241613299635	0.732877761883849
